A	B	Score
BLM	FANCC	900
CENPS	FANCC	902
CENPX	FANCC	902
DCLRE1A	FANCC	910
EME1	FANCC	916
EME2	FANCC	918
ERCC4	FANCC	917
FAAP100	FANCC	945
FAAP20	FANCC	900
FAAP24	FANCC	941
FAN1	FANCC	900
FANCA	FANCC	928
FANCB	FANCC	960
FANCF	FANCC	952
FANCG	FANCC	995
FANCI	FANCC	950
FANCL	FANCC	960
MUS81	FANCC	908
POLN	FANCC	909
RMI1	FANCC	900
RPA2	FANCC	908
SLX4	FANCC	931
TOP3A	FANCC	900
UBA52	FANCC	900
UBB	FANCC	900
UBC	FANCC	900
ATR	FANCD2	919
ATRIP	FANCD2	905
BRCA2	FANCD2	905
CENPS	FANCD2	902
CENPX	FANCD2	901
DCLRE1A	FANCD2	909
EME1	FANCD2	942
EME2	FANCD2	906
ERCC4	FANCD2	938
FAAP100	FANCD2	940
FAAP20	FANCD2	900
FAAP24	FANCD2	941
FAN1	FANCD2	934
FANCA	FANCD2	928
FANCB	FANCD2	960
FANCC	FANCD2	951
FANCF	FANCD2	960
FANCG	FANCD2	947
FANCI	FANCD2	964
FANCL	FANCD2	964
H2AX	FANCD2	900
MUS81	FANCD2	950
POLN	FANCD2	916
RPA2	FANCD2	903
SLX4	FANCD2	938
UBA52	FANCD2	900
UBB	FANCD2	900
UBC	FANCD2	900
XRCC3	FANCD2	905
ATR	FANCE	900
ATRIP	FANCE	903
BHLHE40	FANCE	900
BLM	FANCE	900
CENPS	FANCE	900
CENPX	FANCE	902
DCLRE1A	FANCE	901
EME1	FANCE	909
EME2	FANCE	927
ERCC4	FANCE	905
FAAP100	FANCE	932
FAAP20	FANCE	900
FAAP24	FANCE	928
FAN1	FANCE	904
FANCA	FANCE	931
FANCB	FANCE	949
FANCC	FANCE	933
FANCD2	FANCE	932
FANCF	FANCE	950
FANCG	FANCE	949
FANCI	FANCE	955
FANCL	FANCE	951
FANCM	FANCE	928
HES1	FANCE	904
MUS81	FANCE	905
POLN	FANCE	900
RMI1	FANCE	900
RPA1	FANCE	919
RPA2	FANCE	918
RPS27A	FANCE	900
SLX4	FANCE	919
TOP3A	FANCE	900
UBA52	FANCE	900
UBB	FANCE	900
UBC	FANCE	900
ATR	FANCF	901
BLM	FANCF	900
CENPX	FANCF	905
DCLRE1A	FANCF	902
EME1	FANCF	909
EME2	FANCF	901
FAAP100	FANCF	961
FAAP20	FANCF	900
FAAP24	FANCF	941
FAN1	FANCF	900
FANCA	FANCF	960
FANCB	FANCF	959
FANCG	FANCF	940
FANCL	FANCF	958
POLN	FANCF	900
RPA2	FANCF	919
TOP3A	FANCF	900
UBA52	FANCF	900
UBC	FANCF	900
BRCA2	FANCG	909
CENPX	FANCG	902
EME1	FANCG	914
EME2	FANCG	900
FAAP20	FANCG	900
FAAP24	FANCG	939
FANCA	FANCG	932
FANCB	FANCG	959
FANCL	FANCG	960
POLN	FANCG	900
TOP3A	FANCG	900
UBA52	FANCG	900
UBC	FANCG	900
XRCC3	FANCG	900
ATR	FANCI	913
ATRIP	FANCI	914
BRCA2	FANCI	900
CENPX	FANCI	901
DCLRE1A	FANCI	909
EME1	FANCI	936
EME2	FANCI	928
FAAP100	FANCI	950
FAAP20	FANCI	900
FAAP24	FANCI	955
FAN1	FANCI	942
FANCA	FANCI	952
FANCB	FANCI	960
FANCF	FANCI	951
FANCG	FANCI	950
FANCL	FANCI	960
H2AX	FANCI	900
POLN	FANCI	903
RPA2	FANCI	902
UBA52	FANCI	900
UBC	FANCI	900
EME2	FANCL	927
FAAP24	FANCL	937
POLN	FANCL	908
TOP3A	FANCL	900
UBA52	FANCL	900
UBC	FANCL	900
ATR	FANCM	958
ATRIP	FANCM	902
BLM	FANCM	964
CENPS	FANCM	923
CENPX	FANCM	918
DCLRE1A	FANCM	928
EME1	FANCM	942
EME2	FANCM	908
ERCC4	FANCM	942
FAAP100	FANCM	918
FAAP20	FANCM	900
FAAP24	FANCM	957
FAN1	FANCM	942
FANCA	FANCM	937
FANCB	FANCM	938
FANCC	FANCM	938
FANCD2	FANCM	954
FANCF	FANCM	937
FANCG	FANCM	937
FANCI	FANCM	958
FANCL	FANCM	956
MUS81	FANCM	942
POLN	FANCM	909
RMI1	FANCM	951
RMI2	FANCM	838
RPA2	FANCM	929
RPS27A	FANCM	909
SLX4	FANCM	918
TOP3A	FANCM	960
TOP3B	FANCM	875
UBA52	FANCM	900
UBB	FANCM	909
UBC	FANCM	909
FAR2	FAR1	808
FYN	FARP2	902
NRP1	FARP2	905
PIP5K1C	FARP2	900
PLXNA1	FARP2	913
PLXNA2	FARP2	902
PLXNA3	FARP2	902
PLXNA4	FARP2	904
SRC	FARP2	800
FARSA	FARS2	895
FARS2	FARSB	921
FARSA	FARSB	979
BTK	FAS	904
CASP8	FAS	918
DAXX	FAS	900
FAF1	FAS	900
FASLG	FAS	900
MAP3K5	FAS	900
SRC	FAS	900
SYK	FAS	904
BTK	FASLG	900
DAXX	FASLG	900
FAF1	FASLG	900
SRC	FASLG	900
SYK	FASLG	900
EIF3L	FAU	964
EIF3M	FAU	964
RBM8A	FAU	910
RNPS1	FAU	902
RPL18	FAU	964
RPL26	FAU	952
RPL27	FAU	963
RPL28	FAU	961
RPL36	FAU	964
RPLP0	FAU	964
RPP38	FAU	936
RPS10	FAU	951
RPS13	FAU	963
RPS15	FAU	964
RPS19	FAU	964
RPS28	FAU	964
RPS5	FAU	952
SMG8	FAU	900
SRP54	FAU	964
UPF1	FAU	902
ACTR1A	FBF1	900
AHI1	FBF1	904
AKAP9	FBF1	900
ALMS1	FBF1	900
C2CD3	FBF1	904
CC2D2A	FBF1	907
CCP110	FBF1	901
CDK1	FBF1	900
CDK5RAP2	FBF1	902
CENPJ	FBF1	901
CEP131	FBF1	902
CEP152	FBF1	900
CEP162	FBF1	905
CEP192	FBF1	902
CEP250	FBF1	907
CEP290	FBF1	900
CEP63	FBF1	902
CEP78	FBF1	900
CEP83	FBF1	918
CEP97	FBF1	905
CETN2	FBF1	900
CKAP5	FBF1	900
CNTRL	FBF1	909
CSNK1D	FBF1	900
CSNK1E	FBF1	900
DCTN2	FBF1	902
DYNC1H1	FBF1	906
DYNC1I2	FBF1	902
DYNLL1	FBF1	900
FGFR1OP	FBF1	900
HAUS5	FBF1	902
HAUS6	FBF1	900
HAUS7	FBF1	900
HSP90AA1	FBF1	900
MAPRE1	FBF1	900
MKS1	FBF1	905
NDE1	FBF1	900
NEDD1	FBF1	900
NEK2	FBF1	900
NPHP4	FBF1	902
ODF2	FBF1	903
OFD1	FBF1	900
PAFAH1B1	FBF1	900
PCM1	FBF1	900
PCNT	FBF1	900
PPP2R1A	FBF1	900
RAB3IP	FBF1	900
SDCCAG8	FBF1	900
SFI1	FBF1	902
TCTN1	FBF1	919
TCTN3	FBF1	905
TMEM216	FBF1	902
TMEM67	FBF1	911
TUBB	FBF1	900
TUBB4B	FBF1	900
CCNF	FBH1	902
FBXL19	FBH1	900
FBXL2	FBH1	901
FBXO32	FBH1	901
USP47	FBH1	900
BMS1	FBL	955
DCAF13	FBL	961
DDX47	FBL	953
DDX49	FBL	939
DDX52	FBL	945
DHX37	FBL	940
EMG1	FBL	961
FCF1	FBL	960
HEATR1	FBL	951
IMP3	FBL	955
IMP4	FBL	961
KRR1	FBL	960
MPHOSPH10	FBL	955
NOC4L	FBL	961
NOL11	FBL	960
NOL6	FBL	961
NOP14	FBL	952
NOP56	FBL	961
NOP58	FBL	952
PDCD11	FBL	961
PWP2	FBL	943
RCL1	FBL	961
RPS14	FBL	953
RPS2	FBL	951
RPS6	FBL	955
RPS9	FBL	960
RRP36	FBL	909
RRP7A	FBL	961
RRP9	FBL	961
SNU13	FBL	953
TBL3	FBL	955
UTP11	FBL	959
UTP14A	FBL	949
UTP14C	FBL	949
UTP15	FBL	961
UTP18	FBL	952
UTP20	FBL	961
UTP25	FBL	937
UTP3	FBL	961
UTP4	FBL	960
UTP6	FBL	961
WDR3	FBL	961
WDR36	FBL	961
WDR43	FBL	955
WDR46	FBL	961
WDR75	FBL	961
FLNB	FBLIM1	866
MFAP2	FBLN1	902
MFAP4	FBLN1	902
MFAP5	FBLN1	908
ELN	FBLN5	902
MFAP2	FBLN5	905
MFAP4	FBLN5	902
MFAP5	FBLN5	902
ITGB1	FBN1	902
ITGB3	FBN1	902
FBP1	FBP2	800
PFKP	FBP2	861
PCGF5	FBRS	866
DCAF7	FBRSL1	808
RYBP	FBRSL1	835
CAND1	FBXL12	907
CCDC22	FBXL12	902
COMMD1	FBXL12	900
COMMD10	FBXL12	900
COMMD2	FBXL12	900
COMMD3	FBXL12	900
COMMD4	FBXL12	900
COMMD5	FBXL12	902
COMMD6	FBXL12	900
COMMD7	FBXL12	900
COMMD8	FBXL12	900
COMMD9	FBXL12	902
CUL1	FBXL12	923
DCUN1D1	FBXL12	900
DCUN1D2	FBXL12	900
DCUN1D3	FBXL12	900
DCUN1D4	FBXL12	900
DCUN1D5	FBXL12	900
NEDD8	FBXL12	909
RPS27A	FBXL12	909
UBA52	FBXL12	900
UBA7	FBXL12	901
UBB	FBXL12	909
UBC	FBXL12	909
UBE2A	FBXL12	912
UBE2B	FBXL12	912
UBE2C	FBXL12	904
UBE2D1	FBXL12	905
UBE2D2	FBXL12	905
UBE2D3	FBXL12	905
UBE2E1	FBXL12	905
UBE2E2	FBXL12	905
UBE2E3	FBXL12	905
UBE2F	FBXL12	909
UBE2G1	FBXL12	905
UBE2G2	FBXL12	900
UBE2H	FBXL12	907
UBE2J1	FBXL12	904
UBE2J2	FBXL12	900
UBE2K	FBXL12	910
UBE2L6	FBXL12	904
UBE2M	FBXL12	909
UBE2N	FBXL12	905
UBE2O	FBXL12	904
UBE2Q1	FBXL12	900
UBE2Q2	FBXL12	900
UBE2R2	FBXL12	905
UBE2S	FBXL12	904
UBE2U	FBXL12	912
UBE2V1	FBXL12	900
UBE2V2	FBXL12	900
UBE2W	FBXL12	904
UBE2Z	FBXL12	904
CAND1	FBXL13	907
CCDC22	FBXL13	900
COMMD2	FBXL13	900
COMMD3	FBXL13	900
COMMD5	FBXL13	900
COMMD6	FBXL13	900
COMMD8	FBXL13	900
CUL1	FBXL13	923
DCUN1D2	FBXL13	900
DCUN1D4	FBXL13	900
UBA52	FBXL13	900
UBA7	FBXL13	901
UBC	FBXL13	909
UBE2A	FBXL13	912
UBE2C	FBXL13	904
UBE2D1	FBXL13	905
UBE2D2	FBXL13	905
UBE2D3	FBXL13	905
UBE2E2	FBXL13	905
UBE2E3	FBXL13	905
UBE2F	FBXL13	909
UBE2G1	FBXL13	905
UBE2G2	FBXL13	900
UBE2H	FBXL13	907
UBE2J1	FBXL13	904
UBE2J2	FBXL13	900
UBE2O	FBXL13	904
UBE2U	FBXL13	912
UBE2V1	FBXL13	900
UBE2V2	FBXL13	900
UBE2W	FBXL13	904
UBE2Z	FBXL13	904
CAND1	FBXL14	907
CCDC22	FBXL14	900
COMMD2	FBXL14	900
COMMD3	FBXL14	900
COMMD5	FBXL14	900
COMMD6	FBXL14	900
COMMD8	FBXL14	900
DCUN1D2	FBXL14	900
DCUN1D4	FBXL14	900
UBA52	FBXL14	900
UBC	FBXL14	909
UBE2A	FBXL14	912
UBE2C	FBXL14	904
UBE2D1	FBXL14	905
UBE2D2	FBXL14	905
UBE2D3	FBXL14	905
UBE2E2	FBXL14	905
UBE2E3	FBXL14	905
UBE2F	FBXL14	909
UBE2G1	FBXL14	905
UBE2H	FBXL14	907
UBE2J1	FBXL14	904
UBE2J2	FBXL14	900
UBE2U	FBXL14	912
UBE2V2	FBXL14	900
UBE2W	FBXL14	904
UBE2Z	FBXL14	904
BTRC	FBXL15	919
CAND1	FBXL15	907
CCDC22	FBXL15	902
CCNF	FBXL15	942
COMMD1	FBXL15	900
COMMD10	FBXL15	900
COMMD2	FBXL15	900
COMMD3	FBXL15	900
COMMD4	FBXL15	902
COMMD5	FBXL15	902
COMMD6	FBXL15	900
COMMD7	FBXL15	900
COMMD8	FBXL15	900
COMMD9	FBXL15	902
CUL1	FBXL15	923
DCUN1D1	FBXL15	900
DCUN1D2	FBXL15	900
DCUN1D3	FBXL15	900
DCUN1D4	FBXL15	900
DCUN1D5	FBXL15	900
FBH1	FBXL15	901
FBXL19	FBXL15	906
FBXL2	FBXL15	918
FBXL3	FBXL15	908
FBXL5	FBXL15	900
FBXO17	FBXL15	902
FBXO27	FBXL15	901
FBXO31	FBXL15	900
FBXO32	FBXL15	913
FBXO4	FBXL15	904
FBXO44	FBXL15	902
FBXO6	FBXL15	901
FBXO9	FBXL15	943
FBXW11	FBXL15	919
FBXW5	FBXL15	919
FBXW7	FBXL15	927
NEDD8	FBXL15	916
RPS27A	FBXL15	909
SKP1	FBXL15	935
SKP2	FBXL15	916
UBA52	FBXL15	900
UBA7	FBXL15	901
UBB	FBXL15	909
UBC	FBXL15	909
UBE2A	FBXL15	912
UBE2B	FBXL15	912
UBE2C	FBXL15	904
UBE2D1	FBXL15	905
UBE2D2	FBXL15	905
UBE2D3	FBXL15	905
UBE2E1	FBXL15	905
UBE2E2	FBXL15	905
UBE2E3	FBXL15	905
UBE2F	FBXL15	909
UBE2G1	FBXL15	905
UBE2G2	FBXL15	902
UBE2H	FBXL15	907
UBE2J1	FBXL15	904
UBE2J2	FBXL15	900
UBE2K	FBXL15	910
UBE2L6	FBXL15	904
UBE2M	FBXL15	909
UBE2N	FBXL15	905
UBE2O	FBXL15	904
UBE2Q1	FBXL15	900
UBE2Q2	FBXL15	900
UBE2R2	FBXL15	905
UBE2S	FBXL15	904
UBE2U	FBXL15	912
UBE2V1	FBXL15	900
UBE2V2	FBXL15	900
UBE2W	FBXL15	904
UBE2Z	FBXL15	904
USP47	FBXL15	902
CAND1	FBXL16	907
COMMD2	FBXL16	900
COMMD5	FBXL16	900
DCUN1D2	FBXL16	900
DCUN1D4	FBXL16	902
UBA52	FBXL16	900
UBC	FBXL16	909
UBE2D2	FBXL16	905
UBE2E3	FBXL16	905
UBE2F	FBXL16	909
UBE2J1	FBXL16	904
UBE2J2	FBXL16	900
UBE2V2	FBXL16	909
UBE2W	FBXL16	904
CAND1	FBXL18	902
COMMD2	FBXL18	900
COMMD5	FBXL18	902
DCUN1D2	FBXL18	900
DCUN1D4	FBXL18	900
UBA52	FBXL18	900
UBC	FBXL18	900
UBE2D2	FBXL18	900
UBE2E2	FBXL18	900
UBE2E3	FBXL18	900
UBE2F	FBXL18	900
UBE2G1	FBXL18	900
UBE2J1	FBXL18	900
UBE2J2	FBXL18	901
UBE2V2	FBXL18	900
UBE2W	FBXL18	900
CAND1	FBXL19	907
CCNF	FBXL19	909
COMMD2	FBXL19	900
COMMD5	FBXL19	900
COMMD8	FBXL19	900
DCUN1D2	FBXL19	900
DCUN1D4	FBXL19	900
FBXL2	FBXL19	908
FBXO32	FBXL19	909
UBA52	FBXL19	900
UBC	FBXL19	912
UBE2D2	FBXL19	906
UBE2E2	FBXL19	906
UBE2E3	FBXL19	906
UBE2F	FBXL19	909
UBE2G1	FBXL19	906
UBE2J1	FBXL19	906
UBE2J2	FBXL19	900
UBE2V2	FBXL19	900
UBE2W	FBXL19	906
USP47	FBXL19	904
FBXO32	FBXL2	913
USP47	FBXL2	902
CAND1	FBXL20	903
CCDC22	FBXL20	900
COMMD1	FBXL20	900
COMMD10	FBXL20	900
COMMD2	FBXL20	900
COMMD3	FBXL20	900
COMMD4	FBXL20	900
COMMD5	FBXL20	900
COMMD6	FBXL20	900
COMMD7	FBXL20	900
COMMD8	FBXL20	900
CUL1	FBXL20	916
DCUN1D1	FBXL20	901
DCUN1D2	FBXL20	901
DCUN1D3	FBXL20	902
DCUN1D4	FBXL20	902
RPS27A	FBXL20	901
UBA52	FBXL20	901
UBA7	FBXL20	902
UBB	FBXL20	901
UBC	FBXL20	901
UBE2A	FBXL20	905
UBE2B	FBXL20	914
UBE2C	FBXL20	902
UBE2D1	FBXL20	905
UBE2D2	FBXL20	902
UBE2D3	FBXL20	902
UBE2E1	FBXL20	900
UBE2E2	FBXL20	900
UBE2E3	FBXL20	900
UBE2F	FBXL20	900
UBE2G1	FBXL20	902
UBE2G2	FBXL20	900
UBE2H	FBXL20	904
UBE2J1	FBXL20	900
UBE2J2	FBXL20	900
UBE2L6	FBXL20	900
UBE2N	FBXL20	901
UBE2O	FBXL20	900
UBE2Q1	FBXL20	902
UBE2Q2	FBXL20	902
UBE2U	FBXL20	902
UBE2V1	FBXL20	901
UBE2V2	FBXL20	905
UBE2W	FBXL20	902
UBE2Z	FBXL20	900
CAND1	FBXL22	907
CCDC22	FBXL22	900
COMMD2	FBXL22	900
COMMD3	FBXL22	900
COMMD5	FBXL22	900
COMMD8	FBXL22	900
DCUN1D2	FBXL22	900
DCUN1D4	FBXL22	900
UBA52	FBXL22	900
UBC	FBXL22	909
UBE2A	FBXL22	912
UBE2D1	FBXL22	905
UBE2D2	FBXL22	905
UBE2E2	FBXL22	905
UBE2E3	FBXL22	905
UBE2F	FBXL22	909
UBE2G1	FBXL22	905
UBE2J1	FBXL22	904
UBE2J2	FBXL22	900
UBE2U	FBXL22	912
UBE2V2	FBXL22	900
UBE2W	FBXL22	904
UBE2Z	FBXL22	904
BTRC	FBXL3	908
CAND1	FBXL3	907
CCDC22	FBXL3	900
CCNF	FBXL3	908
CCT4	FBXL3	900
COMMD2	FBXL3	902
COMMD3	FBXL3	902
COMMD5	FBXL3	900
COMMD6	FBXL3	900
COMMD8	FBXL3	900
CRY2	FBXL3	909
DCUN1D2	FBXL3	901
DCUN1D4	FBXL3	900
FBH1	FBXL3	900
FBXL19	FBXL3	906
FBXL2	FBXL3	907
FBXO32	FBXL3	907
FBXO44	FBXL3	902
FBXO6	FBXL3	902
UBA52	FBXL3	900
UBC	FBXL3	909
UBE2A	FBXL3	912
UBE2C	FBXL3	904
UBE2D1	FBXL3	905
UBE2D2	FBXL3	905
UBE2D3	FBXL3	905
UBE2E2	FBXL3	905
UBE2E3	FBXL3	905
UBE2F	FBXL3	909
UBE2G1	FBXL3	905
UBE2H	FBXL3	907
UBE2J1	FBXL3	904
UBE2J2	FBXL3	900
UBE2U	FBXL3	912
UBE2V2	FBXL3	900
UBE2W	FBXL3	904
UBE2Z	FBXL3	904
USP47	FBXL3	902
CAND1	FBXL4	907
CCDC22	FBXL4	900
COMMD2	FBXL4	900
COMMD3	FBXL4	900
COMMD5	FBXL4	900
COMMD8	FBXL4	900
DCUN1D2	FBXL4	900
DCUN1D4	FBXL4	900
UBA52	FBXL4	900
UBC	FBXL4	909
UBE2A	FBXL4	912
UBE2D1	FBXL4	905
UBE2D2	FBXL4	905
UBE2E2	FBXL4	905
UBE2E3	FBXL4	905
UBE2F	FBXL4	909
UBE2G1	FBXL4	905
UBE2J1	FBXL4	904
UBE2J2	FBXL4	900
UBE2U	FBXL4	912
UBE2V2	FBXL4	900
UBE2W	FBXL4	904
BTRC	FBXL5	902
CAND1	FBXL5	900
CCDC22	FBXL5	905
CCNF	FBXL5	900
CCT4	FBXL5	900
COMMD2	FBXL5	902
COMMD3	FBXL5	900
COMMD5	FBXL5	900
COMMD6	FBXL5	900
COMMD8	FBXL5	902
DCUN1D2	FBXL5	900
DCUN1D4	FBXL5	900
FBH1	FBXL5	903
FBXL19	FBXL5	900
FBXL2	FBXL5	900
FBXL3	FBXL5	901
FBXO32	FBXL5	902
FBXO44	FBXL5	903
FBXO6	FBXL5	903
UBA52	FBXL5	900
UBC	FBXL5	901
UBE2A	FBXL5	900
UBE2C	FBXL5	900
UBE2D1	FBXL5	902
UBE2D2	FBXL5	902
UBE2D3	FBXL5	902
UBE2E2	FBXL5	900
UBE2E3	FBXL5	900
UBE2F	FBXL5	900
UBE2G1	FBXL5	902
UBE2H	FBXL5	902
UBE2J1	FBXL5	901
UBE2J2	FBXL5	900
UBE2U	FBXL5	900
UBE2V2	FBXL5	900
UBE2W	FBXL5	900
UBE2Z	FBXL5	900
USP47	FBXL5	900
CAND1	FBXL7	907
UBC	FBXL7	913
UBE2F	FBXL7	909
UBE2J1	FBXL7	904
UBE2V2	FBXL7	901
CAND1	FBXL8	905
CCDC22	FBXL8	902
COMMD1	FBXL8	900
COMMD10	FBXL8	900
COMMD2	FBXL8	900
COMMD3	FBXL8	900
COMMD4	FBXL8	900
COMMD5	FBXL8	902
COMMD6	FBXL8	900
COMMD7	FBXL8	900
COMMD8	FBXL8	900
COMMD9	FBXL8	902
CUL1	FBXL8	900
DCUN1D1	FBXL8	900
DCUN1D2	FBXL8	900
DCUN1D3	FBXL8	900
DCUN1D4	FBXL8	900
DCUN1D5	FBXL8	900
RPS27A	FBXL8	900
UBA52	FBXL8	902
UBA7	FBXL8	902
UBB	FBXL8	901
UBC	FBXL8	901
UBE2A	FBXL8	900
UBE2B	FBXL8	900
UBE2C	FBXL8	902
UBE2D1	FBXL8	900
UBE2D2	FBXL8	900
UBE2D3	FBXL8	900
UBE2E1	FBXL8	900
UBE2E2	FBXL8	900
UBE2E3	FBXL8	900
UBE2F	FBXL8	900
UBE2G1	FBXL8	900
UBE2G2	FBXL8	902
UBE2H	FBXL8	900
UBE2J1	FBXL8	900
UBE2J2	FBXL8	900
UBE2K	FBXL8	900
UBE2L6	FBXL8	900
UBE2N	FBXL8	900
UBE2O	FBXL8	900
UBE2Q1	FBXL8	900
UBE2Q2	FBXL8	900
UBE2R2	FBXL8	900
UBE2S	FBXL8	902
UBE2U	FBXL8	900
UBE2V1	FBXL8	900
UBE2V2	FBXL8	900
UBE2W	FBXL8	900
UBE2Z	FBXL8	900
CAND1	FBXO10	902
COMMD2	FBXO10	900
DCUN1D2	FBXO10	900
UBC	FBXO10	900
UBE2F	FBXO10	900
UBE2J1	FBXO10	902
UBE2V2	FBXO10	900
CAND1	FBXO11	902
COMMD2	FBXO11	900
COMMD5	FBXO11	900
DCUN1D2	FBXO11	902
DCUN1D4	FBXO11	902
UBA52	FBXO11	900
UBC	FBXO11	900
UBE2E3	FBXO11	902
UBE2F	FBXO11	900
UBE2J1	FBXO11	902
UBE2V2	FBXO11	902
UBE2W	FBXO11	900
CAND1	FBXO15	900
COMMD2	FBXO15	900
COMMD5	FBXO15	900
DCUN1D2	FBXO15	900
UBC	FBXO15	900
UBE2F	FBXO15	900
UBE2J1	FBXO15	901
UBE2V2	FBXO15	900
UBE2W	FBXO15	900
BTRC	FBXO17	900
CAND1	FBXO17	900
CCDC22	FBXO17	900
CCNF	FBXO17	902
COMMD1	FBXO17	900
COMMD2	FBXO17	900
COMMD3	FBXO17	900
COMMD5	FBXO17	900
COMMD6	FBXO17	900
COMMD8	FBXO17	900
CUL1	FBXO17	903
DCUN1D2	FBXO17	900
DCUN1D3	FBXO17	900
DCUN1D4	FBXO17	900
FBH1	FBXO17	900
FBXL19	FBXO17	901
FBXL2	FBXO17	900
FBXL3	FBXO17	905
FBXL5	FBXO17	906
FBXO2	FBXO17	804
FBXO27	FBXO17	900
FBXO31	FBXO17	905
FBXO32	FBXO17	900
FBXO44	FBXO17	906
FBXO6	FBXO17	909
FBXW5	FBXO17	909
UBA52	FBXO17	900
UBA7	FBXO17	901
UBB	FBXO17	900
UBC	FBXO17	900
UBE2A	FBXO17	900
UBE2C	FBXO17	900
UBE2D1	FBXO17	900
UBE2D2	FBXO17	900
UBE2D3	FBXO17	900
UBE2E1	FBXO17	900
UBE2E2	FBXO17	900
UBE2E3	FBXO17	900
UBE2F	FBXO17	900
UBE2G1	FBXO17	904
UBE2G2	FBXO17	900
UBE2H	FBXO17	900
UBE2J1	FBXO17	900
UBE2J2	FBXO17	902
UBE2N	FBXO17	900
UBE2O	FBXO17	901
UBE2U	FBXO17	900
UBE2V1	FBXO17	900
UBE2V2	FBXO17	900
UBE2W	FBXO17	900
UBE2Z	FBXO17	900
USP47	FBXO17	905
BTRC	FBXO2	800
CAND1	FBXO2	901
CCDC22	FBXO2	900
COMMD2	FBXO2	900
COMMD3	FBXO2	900
COMMD5	FBXO2	900
COMMD6	FBXO2	900
COMMD8	FBXO2	900
DCUN1D2	FBXO2	900
DCUN1D4	FBXO2	902
FBXO44	FBXO2	836
FBXO6	FBXO2	883
UBA52	FBXO2	900
UBC	FBXO2	906
UBE2A	FBXO2	900
UBE2C	FBXO2	900
UBE2D1	FBXO2	900
UBE2D2	FBXO2	900
UBE2D3	FBXO2	900
UBE2E2	FBXO2	900
UBE2E3	FBXO2	900
UBE2F	FBXO2	900
UBE2G1	FBXO2	902
UBE2H	FBXO2	900
UBE2I	FBXO2	900
UBE2J1	FBXO2	900
UBE2J2	FBXO2	900
UBE2U	FBXO2	900
UBE2V2	FBXO2	900
UBE2W	FBXO2	916
UBE2Z	FBXO2	900
CAND1	FBXO21	906
CCDC22	FBXO21	900
COMMD2	FBXO21	900
COMMD3	FBXO21	900
COMMD5	FBXO21	900
COMMD6	FBXO21	900
COMMD8	FBXO21	900
DCUN1D2	FBXO21	900
DCUN1D4	FBXO21	902
UBA52	FBXO21	900
UBA7	FBXO21	900
UBC	FBXO21	900
UBE2A	FBXO21	921
UBE2C	FBXO21	902
UBE2D1	FBXO21	902
UBE2D2	FBXO21	902
UBE2D3	FBXO21	902
UBE2E2	FBXO21	902
UBE2E3	FBXO21	902
UBE2F	FBXO21	900
UBE2G1	FBXO21	902
UBE2G2	FBXO21	900
UBE2H	FBXO21	902
UBE2J1	FBXO21	902
UBE2J2	FBXO21	905
UBE2U	FBXO21	918
UBE2V1	FBXO21	900
UBE2V2	FBXO21	900
UBE2W	FBXO21	902
UBE2Z	FBXO21	902
CAND1	FBXO22	919
CCDC22	FBXO22	900
COMMD1	FBXO22	902
COMMD2	FBXO22	901
COMMD3	FBXO22	902
COMMD5	FBXO22	900
COMMD6	FBXO22	902
COMMD8	FBXO22	902
CUL1	FBXO22	902
DCUN1D2	FBXO22	903
DCUN1D3	FBXO22	903
DCUN1D4	FBXO22	906
UBA52	FBXO22	900
UBA7	FBXO22	902
UBC	FBXO22	900
UBE2A	FBXO22	900
UBE2C	FBXO22	900
UBE2D1	FBXO22	900
UBE2D2	FBXO22	900
UBE2D3	FBXO22	900
UBE2E2	FBXO22	900
UBE2E3	FBXO22	900
UBE2F	FBXO22	900
UBE2G1	FBXO22	900
UBE2G2	FBXO22	900
UBE2H	FBXO22	901
UBE2J1	FBXO22	901
UBE2J2	FBXO22	900
UBE2N	FBXO22	900
UBE2O	FBXO22	900
UBE2U	FBXO22	900
UBE2V1	FBXO22	900
UBE2V2	FBXO22	902
UBE2W	FBXO22	900
UBE2Z	FBXO22	900
FBXO32	FBXO25	801
BTRC	FBXO27	900
CAND1	FBXO27	900
CCDC22	FBXO27	900
CCNF	FBXO27	902
COMMD1	FBXO27	900
COMMD2	FBXO27	900
COMMD3	FBXO27	900
COMMD5	FBXO27	900
COMMD6	FBXO27	900
COMMD8	FBXO27	900
CUL1	FBXO27	903
DCUN1D2	FBXO27	900
DCUN1D3	FBXO27	900
DCUN1D4	FBXO27	900
FBH1	FBXO27	900
FBXL19	FBXO27	902
FBXL2	FBXO27	900
FBXL3	FBXO27	905
FBXL5	FBXO27	906
FBXO2	FBXO27	804
FBXO31	FBXO27	905
FBXO32	FBXO27	900
FBXO44	FBXO27	906
FBXO6	FBXO27	906
FBXW5	FBXO27	908
UBA52	FBXO27	900
UBA7	FBXO27	900
UBB	FBXO27	900
UBC	FBXO27	900
UBE2A	FBXO27	900
UBE2C	FBXO27	900
UBE2D1	FBXO27	900
UBE2D2	FBXO27	900
UBE2D3	FBXO27	900
UBE2E1	FBXO27	900
UBE2E2	FBXO27	900
UBE2E3	FBXO27	900
UBE2F	FBXO27	900
UBE2G1	FBXO27	904
UBE2G2	FBXO27	900
UBE2H	FBXO27	900
UBE2J1	FBXO27	900
UBE2J2	FBXO27	902
